state,polling_place_name,premises,division,address,lon,lat
VIC,Balwyn,Balwyn Baptist Church,Box Hill District,"517 Whitehorse Road, Surrey Hills, 3127",145.0904466,-37.81372409
VIC,Apollo Bay,Apollo Bay Senior Citizens Centre,Polwarth District,"4 Whelan Street, Apollo Bay, 3233",143.666222,-38.754758
VIC,Eaglemont,Bellfield Community Centre,Ivanhoe District,"corner of Oriel Road and Banksia Street , Bellfield, 3081",145.0381928,-37.75625158
VIC,Spring Gully,Spring Gully Tennis Club,Bendigo East District,"Spring Gully Road, Spring Gully, 3550",144.2852629,-36.79164698
VIC,Darling,Caulfield Grammar School - Malvern,Malvern District,"Harold Avenue, Glen Iris, 3146",145.0524129,-37.86366614
VIC,Kooyong,H.A. Smith Reserve,"Malvern District, Hawthorn District","458 Glenferrie Road, Hawthorn, 3122",145.0333451,-37.83622348
VIC,Lyndhurst West,Lyndhurst Primary School,Cranbourne District,"70 Brookwater Parade, Lyndhurst, 3975",145.2541822,-38.07420318
VIC,Bass,Bass Valley Community Centre,Bass District,"2-4 Bass School Road, Bass, 3991",145.465275,-38.48451541
VIC,Red Cliffs,St Joseph's School Red Cliffs,Mildura District,"17 Fitzroy Avenue, Red Cliffs, 3496",142.188124,-34.302361
VIC,Yarrunga,Our Lady's Primary School,Ovens Valley District,"52-60 White Street, Wangaratta, 3677",146.3202943,-36.37259287
VIC,Newborough,Newborough Public Hall,Morwell District,"18 Balfour Street, Newborough, 3825",146.2917883,-38.18683726
VIC,Pakenham Lakeside,Pakenham Lakeside Primary School,Bass District,"23 Shearwater Drive, Pakenham, 3810",145.4392555,-38.06803892
VIC,Toorak,Toorak Uniting Church Hall,Malvern District,"603 Toorak Road, Toorak, 3142",145.019514,-37.841914
VIC,Edenhope,Senior Citizens Building,Lowan District,"54-56 Langford Street, Edenhope, 3318",141.299217,-37.036847
VIC,Sandringham,Sacred Heart Parish School,Sandringham District,"11 Fernhill Road (enter via Sandringham Road), Sandringham, 3191",145.0086266,-37.95148345
VIC,Blackburn South,St Luke's Roman Catholic School,Forest Hill District,"46 Orchard Grove, Blackburn South, 3130",145.1462147,-37.83548256
VIC,Rosebud,Rosebud Memorial Hall,Nepean District,"994 Point Nepean Road, Rosebud, 3939",144.9001599,-38.35633942
VIC,Findon,Findon Primary School,"Mill Park District, Bundoora District","5 Cuthbert Drive, Mill Park, 3082",145.0507609,-37.66649249
VIC,Preston South,Preston South Primary School,"Northcote District, Preston District","56b Hotham Street, Preston, 3072",145.0077637,-37.74796992
VIC,Eltham Woods,Eltham Woods Pre-School,Eltham District,"50a Frank Street, Eltham, 3095",145.167305,-37.707901
VIC,Balmoral,Balmoral Memorial Hall,Lowan District,"26 Glendinning Street, Balmoral, 3407",141.842177,-37.248662
VIC,Middlefield,Old Orchard Primary School,Box Hill District,"corner Adina and Lantana Streets, Blackburn North, 3130",145.1504114,-37.80690285
VIC,Golf Links,Rosanna Fire Station Community House,Ivanhoe District,"232 Lower Plenty Road, Rosanna, 3084",145.072474,-37.738852
VIC,Traralgon North,Traralgon Secondary College - West Campus,Morwell District,"Grey Street, Traralgon, 3844",146.51949,-38.19142
VIC,Hughesdale,Hughesdale Community Centre,Oakleigh District,"corner Poath and Kangaroo Roads, Hughesdale, 3166",145.0765888,-37.89799151
VIC,Brighton East,Melbourne Montessori School,Brighton District,"741 Hawthorn Road, Brighton East, 3187",145.017617,-37.911901
VIC,Ferny Creek,Ferny Creek Primary School,Monbulk District,"School Road, Ferny Creek, 3786",145.33472,-37.88421
VIC,Dargo,Dargo Public Hall,Gippsland East District,"177 Lind Avenue, Dargo, 3862",147.250882,-37.455491
VIC,Woodlands Primary,Woodlands Primary School,Hastings District,"10 Gum Nut Drive, Langwarrin, 3910",145.20502,-38.13568
VIC,Wantirna South,Wantirna South Primary School,Ferntree Gully District,"Tyner Road, Wantirna South, 3152",145.2369904,-37.87238984
VIC,Frankston Beach,St Pauls Anglican Church Hall,Frankston District,"corner Bay and High Streets, Frankston, 3199",145.1188454,-38.14743576
VIC,Bentleigh East,Bentleigh Secondary College,Bentleigh District,"Vivien Street, Bentleigh East, 3165",145.05991,-37.92767
VIC,Coburg North,Coburg Special Development School,Pascoe Vale District,"187-195 Gaffney Street, Coburg North, 3058",144.9520571,-37.73307769
VIC,Nambrok,Nambrok-Denison Primary School,Gippsland South District,"947 Sale-Cowwarr Road, Nambrok, 3847",146.8746959,-38.05440548
VIC,Fawkner Park,Christchurch Grammar School,Prahran District,"677 Punt Road, South Yarra, 3141",144.986152,-37.839108
VIC,Bayles,Bayles Hall,Bass District,"660 Koo Wee Rup-Longwarry Road, Bayles, 3981",145.56996,-38.178146
VIC,Ludstone,Ludstone Scout Hall,Brighton District,"corner Ludstone and Kingston Streets, Hampton, 3188",145.012856,-37.93393457
VIC,Lyndhurst,Lyndhurst Secondary College,Cranbourne District,"950 South Gippsland Highway, Cranbourne North, 3977",145.2693892,-38.07501789
VIC,Avondale Heights Central,St Martin De Porres Catholic Church Hall,Niddrie District,"158 Military Road, Avondale Heights, 3034",144.8609652,-37.7584061
VIC,Wendouree West,Yuille Park Community College,Wendouree District,"Violet Grove, Wendouree, 3355",143.820274,-37.52759556
VIC,Doreen,Ivanhoe Grammar School - Plenty Campus,Yan Yean District,"730 Bridge Inn Road, Doreen, 3754",145.1147372,-37.60414231
VIC,Canadian,Canadian Lead Primary School,Buninyong District,"301 Otway Street South, Canadian, 3350",143.87591,-37.57297
VIC,Orrvale,Orrvale Primary School,Shepparton District,"300 Channel Road, Orrvale, 3631",145.440001,-36.410348
VIC,Craigieburn West,Willmott Park Primary School,Yuroke District,"54-56 Dorchester Street, Craigieburn, 3064",144.92142,-37.59146
VIC,Ascot Vale East,Ascot Vale Uniting Church,Essendon District,"60 Maribyrnong Road, Moonee Ponds, 3039",144.922189,-37.772165
VIC,Hume Central,Hume Central Secondary College - Dimboola Campus,Broadmeadows District,"30-54 Dimboola Road ,  (access via Johnstone Street carpark) , Broadmeadows, 3047",144.9110889,-37.67988231
VIC,Collingwood,Collingwood Secondary College,Richmond District,"Corner Cromwell Street and McCutcheon Way, Collingwood, 3066",144.990441,-37.80304046
VIC,Croydon East,Ruskin Park Primary School,Croydon District,"18-20 Ruskin Avenue, Croydon, 3136",145.2975303,-37.79902531
VIC,Tanjil South,Tanjil South Centenary Hall,Narracan District,"383 Moe-Willow Grove Road, Tanjil South, 3825",146.2474809,-38.10958716
VIC,Manooka,Burwood East Special Developmental School,Forest Hill District,"18 Manooka Street, Burwood East, 3151",145.14212,-37.8572
VIC,Templestowe Heights,Templestowe Heights Primary School,Bulleen District,"276-300 High Street, Templestowe Lower, 3107",145.1204397,-37.76652292
VIC,Deans Marsh,Deans Marsh Public Hall,Polwarth District,"Pennyroyal Valley Road, Deans Marsh, 3235",143.8848397,-38.39904339
VIC,Berriwillock,Berriwillock Community Centre,Mildura District,"69 Taverner Street, Berriwillock, 3531",142.994677,-35.636033
VIC,Metung,Metung Primary School,Gippsland East District,"90 Stirling Road, Metung, 3904",147.8523783,-37.88318002
VIC,Doncaster East,East Doncaster Secondary College,Warrandyte District,"20 George Street, Doncaster East, 3109",145.1579076,-37.78225865
VIC,Geelong East,Geelong East Primary School,Geelong District,"184 Boundary Road, Geelong East, 3219",144.382723,-38.17540114
VIC,Croydon Central,Croydon Primary School,Croydon District,"corner Kent Avenue and Croydon Road, Croydon, 3136",145.2811541,-37.79330408
VIC,Walwa,Walwa Servicemen's Memorial Hall,Benambra District,"56 Main Street, Walwa, 3709",147.7372377,-35.96398185
VIC,Wodonga South,Wodonga Middle Years College - Huon Campus,Benambra District,"22-24 Mitchell Street, Wodonga, 3690",146.8906933,-36.13142627
VIC,St Andrews,St Andrews Primary School,Eildon District,"25 Caledonia Street, St Andrews, 3761",145.26983,-37.60232
VIC,Fairhills,Fairhills Primary School,"Ferntree Gully District, Bayswater District","Manuka Drive, Ferntree Gully, 3156",145.2651859,-37.86970804
VIC,Echuca East,Echuca East Primary School,Murray Plains District,"21-31 Eyre Street, Echuca East, 3564",144.76111,-36.13405
VIC,Seaford North,Seaford North Primary School,Carrum District,"Hallifax Street, Seaford, 3198",145.1343907,-38.08963127
VIC,Burwood West,Melbourne Chinese Christian Church Hall,Hawthorn District,"29 Summerhill Road, Glen Iris, 3146",145.076882,-37.851392
VIC,Melton West,Melton Secondary College,Melton District,"207 Coburns Road, Melton West, 3337",144.5671119,-37.68216921
VIC,Ocean Grove,The Wave Ocean Grove Baptist Church,Bellarine District,"corner Wallington Rd and Lake Avenue , Ocean Grove, 3326",144.507586,-38.25821525
VIC,Clyde,Clyde Public Hall,"Bass District, Cranbourne District","30 Railway Road, Clyde, 3978",145.329562,-38.131766
VIC,Beulah,Beulah Memorial Hall,Mildura District,"70 Phillips Street, Beulah, 3395",142.420776,-35.93896
VIC,Myrrhee,Myrrhee Primary School,Ovens Valley District,"1673 Benalla-Whitfield Road, Myrrhee, 3732",146.318312,-36.738271
VIC,Tarrington,Lutheran School Hall,Lowan District,"7901 Hamilton Highway, Tarrington, 3301",142.0947871,-37.76709319
VIC,Starling,St Scholastica's Community Centre,Burwood District,"4-8 Starling Street, Bennettswood, 3125",145.1261686,-37.85188493
VIC,Keon Park,Keon Park Children's Hub,Preston District,"1-7 Dole Avenue, Reservoir, 3073",145.021332,-37.700877
VIC,Caulfield West,Shelford Girls' Grammar,Caulfield District,"3 Hood Crescent, Caulfield, 3161",145.01149,-37.87761236
VIC,Vermont North,1st Vermont Scout Group,Forest Hill District,"483-485 Canterbury Road, Vermont, 3133",145.196076,-37.835689
VIC,Drouin South,Drouin South Primary School,Narracan District,"3061 Westernport Road, Drouin South, 3818",145.82682,-38.17057
VIC,Mount Waverley North,Mount Waverley Secondary College - Senior Campus,Mount Waverley District,"Lechte Road (access via Beaufort Street), Mount Waverley, 3149",145.13241,-37.868159
VIC,Heatherton North,St Andrew's Catholic Parish School,Clarinda District,"96 Bunney Road, Clayton South, 3169",145.1064986,-37.93473553
VIC,Ringwood North,Ringwood North Primary School,"Ringwood District, Warrandyte District, Croydon District","172 Oban Road, Ringwood, 3134",145.2306697,-37.79231783
VIC,Brim,Brim Memorial Hall,Lowan District,"28a Swann Street, Brim, 3391",142.416434,-36.076008
VIC,Sale North,Sale College Gymnasium Guthridge Campus,Gippsland South District,"279-295 Guthridge Parade, Sale, 3850",147.082235,-38.096878
VIC,Manangatang,Manangatang Community Centre,Mildura District,"1 Wattle Street, Manangatang, 3546",142.8820024,-35.05698153
VIC,Highvale,Highvale Primary School,Forest Hill District,"33 Ashton Street, Glen Waverley, 3150",145.1738772,-37.86717868
VIC,California Gully,California Gully Primary School,Bendigo West District,"4-14 Staley Street, California Gully, 3556",144.249871,-36.733465
VIC,Moorabbin South,Tucker Road Primary School,Bentleigh District,"16 Tucker Road, Bentleigh, 3204",145.0490104,-37.93253954
VIC,Tongala,Tongala Shire Hall,Murray Plains District,"92-96 Mangan Street, Tongala, 3621",144.9500551,-36.25019081
VIC,Berwick Lodge,Berwick Lodge Primary School,"Gembrook District, Narre Warren North District","145 Mansfield Street, Berwick, 3806",145.32711,-38.03147
VIC,Eltham,Eltham Primary School,Eltham District,"70 Dalton Street, Eltham, 3095",145.148163,-37.725366
VIC,Delbridge,Clifton Hill Presbyterian Church  Hall,Richmond District,"16 Michael Street (corner of McKean Street), Fitzroy North, 3068",144.990543,-37.787509
VIC,Streatham,Streatham Public Hall,Lowan District,"30 Campbell Street, Streatham, 3351",143.062334,-37.679172
VIC,Mirboo North,Mirboo North Town Hall,Gippsland South District,"30 Ridgway Street, Mirboo North, 3871",146.154921,-38.400802
VIC,Kilberry Valley,Kilberry Valley Primary School,Narre Warren South District,"Kilberry Boulevard, Hampton Park, 3976",145.27926,-38.0336
VIC,Merino,Merino Consolidated School,Lowan District,"49 Paschendale Road, Merino, 3310",141.54831,-37.70637
VIC,Port Campbell,Port Campbell Recreation Reserve,Polwarth District,"Desaily Street, Port Campbell, 3269",143.0031039,-38.61658314
VIC,Greenhills,Greenhills Primary School,Eltham District,"29 Mine Street, Greensborough, 3088",145.118148,-37.691859
VIC,Grassmere,Grassmere Primary School,South-West Coast District,"16 Ibbs Lane, Grassmere, 3218",142.5232646,-38.28563162
VIC,Viewbank,Viewbank Primary School,Ivanhoe District,"2-10 Nevin Parade, Viewbank, 3084",145.090435,-37.733951
VIC,Barmah,Barmah Community Hall,Shepparton District,"Schier Street, Barmah, 3639",144.962215,-36.015721
VIC,Stevensville,Movelle Primary School,Kororoit District,"Gum Road, Kings Park, 3021",144.7748628,-37.73726776
VIC,Hamilton,Monivae College,Lowan District,"Ballarat Road, Hamilton, 3300",142.0496415,-37.7423814
VIC,Seaspray,Seaspray Public Hall,Gippsland South District,"Futcher Street, Seaspray, 3851",147.1900274,-38.37526119
VIC,Darebin Parklands,Thornbury High School,Northcote District,"238 Collins Street, Thornbury, 3071",145.0254419,-37.7565657
VIC,Bullioh,Bullioh Hall,Benambra District,"7961 Murray Valley Highway, Bullioh, 3700",147.3315742,-36.19499341
VIC,Watsonia South,Watsonia Community Centre,Bundoora District,"35 Lambourn Road, Watsonia, 3087",145.0787865,-37.71225786
VIC,Black Hill,Black Hill Primary School,Wendouree District,"601 Chisholm Street, Black Hill, 3350",143.86978,-37.54984
VIC,Port Melbourne,Port Melbourne Primary School,Albert Park District,"415 Graham Street (enter via Clark Street), Port Melbourne, 3207",144.9338764,-37.83536687
VIC,Carlton North,St Michael's  Anglican Church Hall,Melbourne District,"14 McIlwraith Street, Carlton North, 3054",144.968339,-37.78499779
VIC,Bethal,Bethal Primary School,Broadmeadows District,"26-52 Eldorado Crescent (access via Rockbank Court), Meadow Heights, 3048",144.9182748,-37.65908046
VIC,Mount Dandenong,Mount Dandenong Primary School,Monbulk District,"13a Farndons Road, Mount Dandenong, 3767",145.36217,-37.83074
VIC,Hartwell,Hartwell Primary School,Burwood District,"Milverton Street, Camberwell, 3124",145.083929,-37.84758
VIC,Camperdown,Camperdown P-12 College,Polwarth District,"1 Wilson Street, Camperdown, 3260",143.1452685,-38.23984359
VIC,Learmonth,Learmonth Football and Netball Club,Ripon District,"Laidlaw Street, Learmonth, 3352",143.712671,-37.421393
VIC,Boroondara,Boroondara Park Primary School,Kew District,"Almond Street, Balwyn North, 3104",145.088062,-37.78903081
VIC,Aldercourt,Aldercourt Primary School,Frankston District,"Silver Avenue (enter via Wallowa Crescent), Frankston North, 3200",145.1612965,-38.11750101
VIC,Skipton,Skipton Mechanics' Institute,Polwarth District,"5 Anderson Street, Skipton, 3361",143.364514,-37.68697
VIC,Allansford,Allansford Primary School,South-West Coast District,"Frank Street, Allansford, 3277",142.59039,-38.38628
VIC,Jeparit,Jeparit Pre-School Centre,Lowan District,"9 Hindmarsh Street, Jeparit, 3423",141.9879195,-36.14352575
VIC,Yea,Yea Shire Hall,Eildon District,"High Street, Yea, 3717",145.4258805,-37.2114732
VIC,Heyfield,Heyfield Memorial Hall,Gippsland East District,"38 MacFarlane Street, Heyfield, 3858",146.784222,-37.984854
VIC,Doveton North,Doveton College,Dandenong District,"62 Tristania Street (access via Laurel Avenue), Doveton, 3177",145.243283,-37.99028875
VIC,Endeavour Hills,James Cook Primary School,Dandenong District,"29-59 James Cook Drive, Endeavour Hills, 3802",145.24585,-37.97906
VIC,Pimpinio,Pimpinio Uniting Church Hall,Lowan District,"47 Church Street, Pimpinio, 3401",142.1170762,-36.583985
VIC,Carnegie East,St Peter's Parish Hall,Oakleigh District,"371 Neerim Road, Carnegie, 3163",145.062661,-37.890144
VIC,Wheelers Hill South,St Justin's Primary School,Mulgrave District,"42 Whalley Drive, Wheelers Hill, 3150",145.1911347,-37.91773323
VIC,Port Melbourne East,Sol Green Community Centre,Albert Park District,"corner Montague and Coventry Streets, South Melbourne, 3205",144.952337,-37.833913
VIC,Terang,Terang Civic Hall,Polwarth District,"131 High Street, Terang, 3264",142.9153349,-38.24138667
VIC,Rawson,Rawson Primary School,Narracan District,"Knotts Siding Road, Rawson, 3825",146.3983087,-37.95821425
VIC,Campbellfield,Campbellfield Heights Primary School,Broadmeadows District,"Laurel Crescent, Campbellfield, 3061",144.9655585,-37.67446898
VIC,Northcote,Santa Maria College,Northcote District,"50 Separation Street, Northcote, 3070",145.0027,-37.769913
VIC,Fawkner,Fawkner Primary School,Broadmeadows District,"40 Lorne Street, Fawkner, 3060",144.97389,-37.715398
VIC,Lismore,Lismore Primary School,Polwarth District,"77 William Street, Lismore, 3324",143.3393,-37.9546
VIC,Napoleons,Napoleons Primary School,Buninyong District,"4721 Colac-Ballarat Road, Napoleons, 3352",143.82646,-37.67863
VIC,Bolinda,Bolinda Primary School,Macedon District,"1 Mullaleys Road, Bolinda, 3432",144.7454,-37.43373
VIC,Gardiner,Melbourne Praise Centre,Malvern District,"1536 Malvern Road, Glen Iris, 3146",145.050657,-37.854568
VIC,Fairfield,Fairfield Primary School,Northcote District,"Langridge Street, Fairfield, 3078",145.0204,-37.77799
VIC,Lillico,Nilma North and Lillico Memorial Hall,Narracan District,"488 Bloomfield Road, Nilma North, 3821",145.985949,-38.132247
VIC,Korong Vale,Korong Vale Community Centre,Ripon District,"Allen Street, Korong Vale, 3520",143.706376,-36.355827
VIC,Panton Hill,Panton Hill Primary School,Eildon District,"585 Kangaroo Ground-St Andrews Road, Panton Hill, 3759",145.23956,-37.64161
VIC,Waverley Park,Carwatha College,Mulgrave District,"43-81 Browns Road, Noble Park North, 3174",145.1890167,-37.94332768
VIC,Kyneton East,Sacred Heart College - Kyneton,Macedon District,"94 High Street (access via Ross and Begg Streets), Kyneton, 3444",144.4580443,-37.25369056
VIC,Glen Nichol,Holy Trinity Church Hall,Brunswick District,"Corner Nicholson Street and Glenlyon Road, Brunswick East, 3057",144.979695,-37.773233
VIC,Narrawong,Narrawong Mechanics Institute,South-West Coast District,"61 Windham Street, Narrawong, 3285",141.709949,-38.253344
VIC,Collendina,Bellarine Church of Christ,Bellarine District,"17 Tareeda Way, Ocean Grove, 3226",144.5498073,-38.257738
VIC,Hastings,Hastings Public Hall,Hastings District,"3 High Street, Hastings, 3915",145.194342,-38.307946
VIC,Frankston Forest,Mahogany Rise Primary School,Frankston District,"Forster Avenue, Frankston North, 3200",145.1574,-38.12562
VIC,Bolwarra,Bolwarra Primary School,South-West Coast District,"249 Princes Highway, Bolwarra, 3305",141.613823,-38.281644
VIC,Swan Hill South,Longhurst Hall - FLO Campus,Murray Plains District,"Murray Valley Highway, Swan Hill, 3585",143.5636148,-35.3564091
VIC,Maryknoll,Father Pooley Memorial Hall,Narracan District,"70 Girrahween Road, Maryknoll, 3812",145.6020456,-38.03277956
VIC,Ruffy,Ruffy Public Hall,Euroa District,"3 Nolans Road, Ruffy, 3666",145.5021333,-36.97459266
VIC,Gormandale,Gormandale Mechanics Institute,Gippsland South District,"corner Main Street and Hyland Highway, Gormandale, 3873",146.701726,-38.294507
VIC,Warrnambool - Tower Square,Our Lady Help of Christians Primary School,South-West Coast District,"28 Selby Road, Warrnambool East, 3280",142.5194431,-38.38534336
VIC,Buckley Park,Buckley Park College,"Niddrie District, Essendon District","Cooper Street, Essendon, 3040",144.897303,-37.74786689
VIC,Lakes Entrance,Lakes Entrance Mechanics Institute,Gippsland East District,"18 Mechanics Street, Lakes Entrance, 3909",147.985747,-37.880345
VIC,Toolleen,Toolleen Uniting Church Hall,Euroa District,"Toolleen-Cornella Road, Toolleen, 3551",144.685156,-36.719508
VIC,Boronia East,Boronia  Church of Christ,Bayswater District,"corner Allandale and Boronia Roads, Boronia, 3155",145.289198,-37.862473
VIC,Gisborne South,Gisborne Secondary College,Macedon District,"95 Melton Road, Gisborne, 3437",144.58477,-37.49811
VIC,Moreland,Moreland Primary School,Brunswick District,"157-163 Moreland Road, corner Blair and, De Carle Streets, Moreland, 3058",144.9663497,-37.7554606
VIC,Guthrie Street,Guthrie Street Primary School,Shepparton District,"Guthrie Street, Shepparton, 3630",145.39097,-36.3985
VIC,Rosanna,Rosanna Primary School,Ivanhoe District,"Grandview Grove, Rosanna, 3084",145.063415,-37.735203
VIC,Jobs Gully,Eaglehawk Secondary College,Bendigo East District,"1 Reserve Street, Eaglehawk, 3556",144.26269,-36.72026
VIC,Daylesford,Daylesford Primary School,Macedon District,"102-128 Vincent Street, Daylesford, 3460",144.14156,-37.3451
VIC,Melbourne,St Michael's Uniting Church,Melbourne District,"120 Collins Street, Melbourne, 3000",144.9692222,-37.81434008
VIC,Civic Square,Keystone Hall,Croydon District,"9 Civic Square, Croydon, 3136",145.2832737,-37.80085941
VIC,Carrum Downs,Carrum Downs Secondary College,Carrum District,"263 McCormicks Road, Carrum Downs, 3201",145.1974367,-38.09496818
VIC,Swan Hill West,Swan Hill Primary School,Murray Plains District,"123 Gray Street, Swan Hill, 3585",143.54325,-35.34691
VIC,Bayswater North,Bayswater North Primary School,Bayswater District,"Stuart Street, Bayswater, 3153",145.295081,-37.828567
VIC,Upfield,Dallas Brooks Community Primary School,Broadmeadows District,"26-36 King Street, Dallas, 3047",144.9432821,-37.66977727
